イベント名,イベント名(英語),カテゴリ,開始日,終了日,イベント説明,イベント説明(英語),開催場所について,イベントスケジュールについて,イベント開始時刻,イベント終了時刻,利用料金,問合先,問合先電話番号,主催者,開催場所施設名,駐車場有無,緯度,経度,対象地区,画像URL,ホームページアドレス,情報変更日時,情報作成日時
河和田地区　〜プチプチ運動会〜,"",子育て,2017/09/15,2017/09/15,参加費100円　　申込制（9/11までに河和田公民館℡65-0403へ）,"",鯖江市河和田公民館,10:30〜,10:30,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/09/16,2017/09/16,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜ベビータッチング〜,"",子育て,2017/09/20,2017/09/20,講師：漆崎 由美氏　定員30名（申込制）＊9/15までに鯖江公民館（℡51-3010）へ,"",アイアイ鯖江,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
片上地区　〜子育て広場〜,"",子育て,2017/09/20,2017/09/20,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　薬立つ話,"",子育て,2017/09/21,2017/09/21,講師：子育てマイスター　薬剤師　千知岩 祐次氏　,"",鯖江市子育て支援センタ−,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
新横江地区　〜リズムで遊ぼう〜,"",子育て,2017/09/21,2017/09/21,音楽に合わせ、楽しく自由に体を動かそう,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
神明鳥羽地区　〜ベビータッチング（０歳児対象）〜,"",子育て,2017/09/25,2017/09/25,講師：嶋　浩美氏　　定員20組（申込制　9/15〆切）,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜手形足形をとろう〜,"",子育て,2017/09/25,2017/09/25,成長の記録に、みんなと一緒にどうぞ！申込は、9/18までに立待公民館（℡51-3376）へ,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　がっちゃんのお話会,"",子育て,2017/09/26,2017/09/26,講師：子育てマイスター　我喜屋 啓子氏　　わらべ歌・ふれあい遊び・お話などお楽しみに！,"",鯖江市子育て支援センタ−,10:30〜11:30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
北中山地区　〜親子ミュージックケア＆ママカフェ〜,"",子育て,2017/10/03,2017/10/03,親子で楽しむ音楽の時間、来てみませんか？?,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
子育て支援センタ−　　お仕事相談会,"",子育て,2017/10/05,2017/10/05,ふくい女性活躍支援センター職員の方と個別にお話をしましょう。,"",鯖江市子育て支援センタ−,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
豊地区　〜にこにこ運動会〜,"",子育て,2017/10/05,2017/10/05,赤ちゃんもお家の人と一緒に参加できます。会費100円（子ども一人）,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
子育て支援センタ−　10月生まれの誕生会,"",子育て,2017/10/06,2017/10/06,10月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
さばえ食と健康・福祉フェアのお知らせ,"",子育て,2017/10/08,2017/10/08,遊びのコーナー・子育て支援情報コーナーなどあります。お待ちしています。,"",嚮陽会館,10:00〜16：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"",嚮陽会館,"",35.947978,136.179297,鯖江地区,"",http://www1.ttn.ne.jp/~s-kyoyo/,"",""
神明鳥羽地区　〜さんさんまつり（手形足形）〜,"",子育て,2017/10/08,2017/10/08,手形ぺったんコーナー・親子工作コーナーがあります。,"",夢みらい館・さばえ,9:30〜,09:30,"","",鯖江市神明公民館,0778-51-5065,"",夢みらい館・さばえ,"",35.970744,136.179357,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yumemiraikan_sabae/yumemiraikan.html,"",""
片上地区　〜子育て広場〜,"",子育て,2017/10/11,2017/10/11,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
河和田地区　〜お散歩に行こう〜,"",子育て,2017/10/12,2017/10/12,中山公園レストハウスで、秋のはじまりを身近に感じましょう。申込は河和田公民館へ,"",中山公園,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"","","","","","","","","",""
子育て支援センタ−　「幼稚園・保育園ってどんなところ？」,"",子育て,2017/10/13,2017/10/13,講師：幼稚園副園長・公立保育所所長,"",鯖江市子育て支援センタ−,10:00〜,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
片上地区　〜手形足形をとろう〜,"",子育て,2017/10/18,2017/10/18,お子さんの大切な成長の記録ですね。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜手形足形アート〜,"",子育て,2017/10/19,2017/10/19,紙にぺったん！手型・足型に一工夫！　＊申込制・・・新横江公民館へ,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/10/19,2017/10/19,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明公民館,9:40〜,09:40,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
中河地区　〜ミニミニ運動会〜,"",子育て,2017/10/19,2017/10/19,参加費100円　みんなで楽しく　よーいどん！＊申込は中河公民館へ,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
河和田地区　〜手形足形をとろう〜,"",子育て,2017/10/19,2017/10/19,作品は河和田地区文化際に出展します。持ち物：お子さんの写真＊申込は河和田公民館へ,"",鯖江市河和田公民館,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
吉川地区　〜親子遊び〜,"",子育て,2017/10/20,2017/10/20,講師：酒井勇美子氏　親子でたっぷりふれあいましょう。＊申込は吉川公民館へ,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/10/21,2017/10/21,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　保健師相談会,"",子育て,2017/10/23,2017/10/23,講師：健康づくり課保健師　お子さんの健康・発達について一緒にお話しましょう。,"",鯖江市子育て支援センタ−,10:00〜,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜みんなで運動会〜,"",子育て,2017/10/26,2017/10/26,参加費100円　みんなで楽しく　よーいどん！＊申込は鯖江公民館へ,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/10/27,2017/10/27,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明公民館,9:40〜,09:40,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
新横江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/10/31,2017/10/31,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・新横江公民館（℡51-2969）,"",鯖江市新横江保育園,9:40〜10：30,09:40,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江保育園,"",35.941833,136.195819,新横江地区,"",http://www.shinyokoehoikuen.jp/outline,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/10/31,2017/10/31,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明公民館,9:40〜,09:40,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
新横江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/11/01,2017/11/01,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・新横江公民館（℡51-2969）,"",鯖江市新横江保育園,9:40〜10：30,09:40,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江保育園,"",35.941833,136.195819,新横江地区,"",http://www.shinyokoehoikuen.jp/outline,"",""
片上地区　〜収穫祭〜,"",子育て,2017/11/01,2017/11/01,"","",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
河和田地区　〜人形劇をみよう〜,"",子育て,2017/11/08,2017/11/08,公演　あすか企画　「白雪姫とゆかいな七人の小人たち」,"",鯖江市慈光保育園,15:00〜,15:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市慈光保育園,"",35.954948,136.276596,河和田地区,"",http://www.mitene.or.jp/~tamasaki/,"",""
子育て支援センタ−　歯っぴー教室,"",子育て,2017/11/09,2017/11/09,講師：歯科衛生士  佐々木雅代氏（子育てマイスター）　＊歯について、歯みがきについて、いろいろ教えてもらいましょう。,"",鯖江市子育て支援センタ−,14:00〜,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
豊地区　〜ベビータッチング〜,"",子育て,2017/11/09,2017/11/09,講師：親子体操指導者　定員20組（申込制）・・・豊公民館へ,"",鯖江市豊公民館,9:30〜,09:30,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
子育て支援センタ−　11月生まれの誕生会,"",子育て,2017/11/10,2017/11/10,11月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
河和田地区　〜パン作り〜,"",子育て,2017/11/10,2017/11/10,会費：大人一人600円（子ども無料）　＊申込は河和田公民館へ,"",ラポーゼかわだ,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",ラポーゼかわだ,"",35.947945,136.300511,河和田地区,"",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/lapausekawada.html,"",""
立待地区　〜離乳食相談会〜,"",子育て,2017/11/13,2017/11/13,講師：健康づくり課管理栄養士,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
片上地区　〜子育てひろば〜,"",子育て,2017/11/15,2017/11/15,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
神明鳥羽地区　〜わんぱく運動会〜,"",子育て,2017/11/20,2017/11/20,参加費100円　申込制です。申込・詳細は神明公民館へ,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　子育て講座〜お母さんの気になることにお答えします〜,"",子育て,2017/11/21,2017/11/21,講師：臨床発達心理士　富田純子氏　＊お子さんの遊んでいる様子を見ながら個別相談ができます。,"",鯖江市子育て支援センタ−,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜人形劇を楽しもう〜,"",子育て,2017/11/22,2017/11/22,公演：COSAPO人形劇団,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/11/25,2017/11/25,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
吉川地区　〜よちよち運動会〜,"",子育て,2017/11/26,2017/11/26,参加費100円　申込制です。申込・詳細は吉川公民館へ,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　栄養士相談会,"",子育て,2017/11/28,2017/11/28,講師：健康づくり課　管理栄養士　　＊お子さんの食事について一緒にお話しましょう。,"",鯖江市子育て支援センタ−,10:30〜11：30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
中河地区　〜親子タッチングとスノードームづくり〜,"",子育て,2017/11/30,2017/11/30,講師：漆崎　由美氏　タッチングの後はスノードーム作りを楽しみましょう！,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
子育て支援センタ−　12月生まれの誕生会,"",子育て,2017/12/01,2017/12/01,12月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　ことばの相談会,"",子育て,2017/12/05,2017/12/05,講師：言語聴覚士 梅澤邦江氏　＊お子さんの言葉の発達についての相談会です。,"",鯖江市子育て支援センタ−,10:00〜11:00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　ベビータッチング,"",子育て,2017/12/06,2017/12/06,講師：嶋　浩美氏　 定員15組（申込制）　＊初めての方優先,"",鯖江市子育て支援センタ−,14:30〜15:30,14:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
片上地区　〜子育てひろば〜,"",子育て,2017/12/06,2017/12/06,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
豊地区　〜人形劇とクリスマス会〜,"",子育て,2017/12/07,2017/12/07,公演：あすか企画　「いっすんぼうし」　＊対象：豊地区の方（申込制）　＊参加費100円,"",鯖江市豊公民館,9:30〜,09:30,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
片上地区　〜お楽しみ会〜,"",子育て,2017/12/13,2017/12/13,参加費100円　＊対象：片上地区の方　＊申込制（12/6締切）片上公民館へ,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　母乳育児相談会,"",子育て,2017/12/14,2017/12/14,講師：助産師　吉田美里氏　＊母乳育児についての個別相談会です。,"",鯖江市子育て支援センタ−,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
吉川地区　〜クリスマス会〜,"",子育て,2017/12/15,2017/12/15,参加費100円　＊申込制（先着30名）　12/1締切　 吉川公民館へ,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
河和田地区　〜クリスマス会〜,"",子育て,2017/12/15,2017/12/15,公演：メロディーパレット　参加費100円　＊申込制（12/13締切）河和田公民館へ　,"",鯖江市河和田公民館,10:20〜,10:20,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/12/16,2017/12/16,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜クリスマス会〜,"",子育て,2017/12/18,2017/12/18,定員50名　参加費100円　＊申込制（12/11締切）神明公民館へ,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜人形劇とクリスマス会〜,"",子育て,2017/12/19,2017/12/19,公演：COSAPO人形劇団　参加費100円　＊申込制　定員20組（立待地区親子優先）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
片上地区　〜子育てひろば〜,"",子育て,2017/12/20,2017/12/20,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜クリスマス会〜,"",子育て,2017/12/21,2017/12/21,参加費200円　　＊申込制（12/11締切）新横江公民館へ,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
中河地区　〜保育園でクリスマス〜,"",子育て,2017/12/22,2017/12/22,保育園のお友達と一緒に楽しみましょう。＊申込制,"",鯖江市中河保育所・みずほ保育園,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",中河保育所・みずほ保育園,"","","","","",http://www.city.sabae.fukui.jp/pageview.html?id=699,"",""
片上地区　〜子育てひろば〜,"",子育て,2018/01/10,2018/01/10,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　1月生まれの誕生会,"",子育て,2018/01/12,2018/01/12,1月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜米粉粘土で遊ぼう〜,"",子育て,2018/01/15,2018/01/15,持ち物：粘土用ボウル　＊申込制（1/6締切）神明公民館へ　,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　保健師相談会,"",子育て,2018/01/18,2018/01/18,講師：健康づくり課保健師　お子さんの健康・発達について一緒にお話しましょう。,"",鯖江市子育て支援センタ−,14:00〜,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2018/01/20,2018/01/20,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　　お仕事相談会,"",子育て,2018/01/23,2018/01/23,ふくい女性活躍支援センター職員の方と個別にお話をしましょう。,"",鯖江市子育て支援センタ−,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
北中山地区　〜ぴよぴよ運動会〜,"",子育て,2018/01/23,2018/01/23,＊申込制（1/15締切）　北中山公民館へ,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
中河地区　〜歯っぴー教室〜,"",子育て,2018/01/25,2018/01/25,講師：歯科衛生士　佐々木雅代氏,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
